Date, Close/Last, Volume, Open, High, Low,Symbol
5/5/2020,$123.49 ,9657805,$126.30 ,$126.77 ,$121.77 ,ROKU
5/4/2020,$124.30 ,14551630,$113.46 ,$124.33 ,$112.69 ,ROKU
5/1/2020,$114.02 ,9717854,$119.55 ,$122 ,$111.36 ,ROKU
4/30/2020,$121.23 ,8027682,$119.17 ,$124.50 ,$118.70 ,ROKU
4/29/2020,$119.52 ,8984944,$119.19 ,$122.86 ,$116.65 ,ROKU
4/28/2020,$119.36 ,13001590,$126.05 ,$127.26 ,$118.51 ,ROKU
4/27/2020,$128.63 ,6580570,$126.30 ,$130.36 ,$125.32 ,ROKU
4/24/2020,$124.83 ,7635995,$124.86 ,$126.02 ,$121.64 ,ROKU
4/23/2020,$123.06 ,11360860,$123 ,$128.40 ,$122.21 ,ROKU
4/22/2020,$122.19 ,12271220,$124.43 ,$125.73 ,$119.25 ,ROKU
4/21/2020,$123.56 ,19014500,$131.75 ,$132.74 ,$118.12 ,ROKU
4/20/2020,$130.04 ,18823120,$127.85 ,$135.47 ,$127.35 ,ROKU
4/17/2020,$126.80 ,20691750,$123.68 ,$128.01 ,$118.56 ,ROKU
4/16/2020,$128 ,38289480,$117 ,$132.40 ,$115.10 ,ROKU
4/15/2020,$113 ,18210720,$102.42 ,$114.32 ,$101.97 ,ROKU
4/14/2020,$106.53 ,22987860,$107.99 ,$108.60 ,$102.42 ,ROKU
4/13/2020,$96.56 ,8648443,$92.50 ,$96.80 ,$91.07 ,ROKU
4/9/2020,$92.45 ,7271763,$90.10 ,$94.10 ,$89.13 ,ROKU
4/8/2020,$87.81 ,6446886,$88.90 ,$92.15 ,$87.52 ,ROKU
4/7/2020,$87.80 ,6192990,$92.85 ,$93.68 ,$86.56 ,ROKU
4/6/2020,$89.49 ,7148433,$83.71 ,$90.44 ,$83.50 ,ROKU
4/3/2020,$81.46 ,4738109,$82.28 ,$83.34 ,$79.38 ,ROKU
4/2/2020,$82.53 ,5268774,$81.41 ,$84.62 ,$80.75 ,ROKU
4/1/2020,$82.42 ,8694551,$84.98 ,$86.50 ,$81.64 ,ROKU
3/31/2020,$87.48 ,9175507,$89.16 ,$94.70 ,$87.08 ,ROKU
3/30/2020,$89.61 ,7899543,$88.95 ,$90.85 ,$86.15 ,ROKU
3/27/2020,$87.45 ,9820742,$87.40 ,$89.50 ,$83.13 ,ROKU
3/26/2020,$89.75 ,15247800,$93.20 ,$96.44 ,$87 ,ROKU
3/25/2020,$94.85 ,15629750,$97.85 ,$100 ,$88.88 ,ROKU
3/24/2020,$97.20 ,17774350,$96.50 ,$101.78 ,$92.10 ,ROKU
3/23/2020,$89.46 ,18705860,$77.37 ,$90.44 ,$74.77 ,ROKU
3/20/2020,$76.13 ,13755050,$76.52 ,$80.08 ,$73.16 ,ROKU
3/19/2020,$74.12 ,13199830,$69.47 ,$75.54 ,$67.22 ,ROKU
3/18/2020,$67.50 ,19522020,$64.79 ,$74.85 ,$61.50 ,ROKU
3/17/2020,$69.46 ,24859200,$60.30 ,$75.79 ,$58.22 ,ROKU
